Main Narrative,Main Narrative Definition,Main Narrative Example,Detail Instructions Main Narrative,Sub Narrative,Sub Narrative Definition,Sub Narrative Example,Detail Instructions Sub Narrative
Praise of Russia,"Statements that positively highlight Russia’s actions, policies, or character","[""Russia is leading the way in international diplomacy."", ""The Russian economy is resilient and strong."", ""Glorifying mentions of Russia’s weapon systems and military might.""]","Identify expressions of admiration, sup- port, or positive evaluation of Russia. Consider both explicit praise and subtle commendation.",Praise of Russian President Vladimir Putin,"Statements that present Vladimir Putin positively, in- cluding his personal and leadership qualities.","[""Any country would want such a strong leader as Putin to lead the way.""]",
Praise of Russia,"Statements that positively highlight Russia’s actions, policies, or character","[""Russia is leading the way in international diplomacy."", ""The Russian economy is resilient and strong."", ""Glorifying mentions of Russia’s weapon systems and military might.""]","Identify expressions of admiration, sup- port, or positive evaluation of Russia. Consider both explicit praise and subtle commendation.",Russia is a guarantor of peace and prosperity,"Statements that portray Russia solely in a positive man- ner, emphasising their potential to provide peace and prosperity to those that cooperate.","[""Take a look at Africa, Russia supports countries and turns them into independent nations guided by their people’s interests where Western countries colonised brutally.""]",
Praise of Russia,"Statements that positively highlight Russia’s actions, policies, or character","[""Russia is leading the way in international diplomacy."", ""The Russian economy is resilient and strong."", ""Glorifying mentions of Russia’s weapon systems and military might.""]","Identify expressions of admiration, sup- port, or positive evaluation of Russia. Consider both explicit praise and subtle commendation.",Russia has international support from a number of countries and people,Statements that emphasise the popularity and acceptance of Russia in the international stage.,"[""The majority of the countries population sides with Russia as per last UN General Assembly vote.""]",
Praise of Russia,"Statements that positively highlight Russia’s actions, policies, or character","[""Russia is leading the way in international diplomacy."", ""The Russian economy is resilient and strong."", ""Glorifying mentions of Russia’s weapon systems and military might.""]","Identify expressions of admiration, sup- port, or positive evaluation of Russia. Consider both explicit praise and subtle commendation.",Russian invasion has strong national support,Statements that emphasise the popularity and acceptance of the invasion inside Russia and on Russian-speaking populations.,"[""What the media does not want you to know is that Russians are almost 100% in favor of the war.""]",Use this only when there is men- tion to the Russian population or the segment of the population in Ukraine that supports Russia.
Overpraising the West,"Statements that excessively and unduly laud or extol the virtues, accomplishments, and moral superiority of Western countries, par- ticularly in the context of international relations and military.",,,NATO will destroy Russia,Statements that suggest or claim that the North Atlantic Treaty Organization (NATO) and its allies are capable or already in the process of eradicating Russia.,"[""After the invasion it is now clear what a mess Russia and its military is. It wouldn’t stance a chance against any NATO mil- itary.""]",
Overpraising the West,"Statements that excessively and unduly laud or extol the virtues, accomplishments, and moral superiority of Western countries, par- ticularly in the context of international relations and military.",,,The West belongs in the right side of history,Statements that portray Western nations and their ac- tions as morally superior and aligned with progress and justice and possess moral superiority.,"[""War in Ukraine showed that we have a fight between good and evil, and the west cannot be part of the evil side.""]",
Overpraising the West,"Statements that excessively and unduly laud or extol the virtues, accomplishments, and moral superiority of Western countries, par- ticularly in the context of international relations and military.",,,The West has the strongest international support,"Statements that emphasize or claim widespread backing for Western policies and actions from the international community, potentially downplaying opposition or criticism.","[""In the UN, Russia was thoroughly condemned and was wrong to stand against the much diplomatically stronger west.""]",
Speculating war outcomes,Statements that predict or make assumptions about the potential results or consequences of a conflict,,,Russian army is collapsing,"Statements that suggest or claim that the Russian mili- tary is experiencing a significant decline in its effectiveness, strength, or morale.","[""In the UN, Russia was thoroughly condemned and was wrong to stand against the much diplomatically stronger west.Russia is pulling its tanks from the 80s, they are clearly in a state of collapse.",
Speculating war outcomes,Statements that predict or make assumptions about the potential results or consequences of a conflict,,,Russian army will lose all the occupied territories,"Speculative statements that predict or assume the potential outcomes of the conflict, specifically regarding the possibility of the Russian military losing control of all the territories it currently occupies.","[""Russian military is in a horrible state, it is a matter of time before Ukraine recaptures Crimea and Donbdass.""]",
Speculating war outcomes,Statements that predict or make assumptions about the potential results or consequences of a conflict,,,Ukrainian army is collapsing,"Statements that suggest or claim that the Ukrainian mil itary is experiencing a significant decline in its effectiveness, strength, or morale.","[""With Ukraine out of ammunition, the Ukrainian front will not be there for long.""]",
"Discrediting the West, Diplomacy","Statements that criticize the Western countries, or interna- tional diplomatic efforts.","[""The West is hypocritical in its foreign policy."", ""Western diplomacy has failed in resolving conflicts."", ""International organizations will not solve anything because...""]","Look for criticism or negative portrayals of Western governments, leaders, or policies. Pay attention to language that suggests incompetence, hypocrisy, or malice.",The EU is divided,"Statements that present the EU as a set of divided entities and interests, usually unable to take actions.","[""The European Council will never vote on sanctions for Russia, since they cannot agree on even the simplest of the issues.""]",
"Discrediting the West, Diplomacy","Statements that criticize the Western countries, or interna- tional diplomatic efforts.","[""The West is hypocritical in its foreign policy."", ""Western diplomacy has failed in resolving conflicts."", ""International organizations will not solve anything because...""]","Look for criticism or negative portrayals of Western governments, leaders, or policies. Pay attention to language that suggests incompetence, hypocrisy, or malice.",The West is weak,Statements presenting the West overall as a non-potent group of countries (that is not as powerful as it used to be).,"[""The weakened West is once again impotent to act in front of the will Russia.""]",
"Discrediting the West, Diplomacy","Statements that criticize the Western countries, or interna- tional diplomatic efforts.","[""The West is hypocritical in its foreign policy."", ""Western diplomacy has failed in resolving conflicts."", ""International organizations will not solve anything because...""]","Look for criticism or negative portrayals of Western governments, leaders, or policies. Pay attention to language that suggests incompetence, hypocrisy, or malice.",The West is overreacting,Statements that claim that the West and its institutions are reacting to Russia’s actions in a disproportionate manner.,"[""Putin did not invade the EU but Ukraine. Imposing harsh sanctions is not the way to deal with it, dialogue and debate is.""]",
"Discrediting the West, Diplomacy","Statements that criticize the Western countries, or interna- tional diplomatic efforts.","[""The West is hypocritical in its foreign policy."", ""Western diplomacy has failed in resolving conflicts."", ""International organizations will not solve anything because...""]","Look for criticism or negative portrayals of Western governments, leaders, or policies. Pay attention to language that suggests incompetence, hypocrisy, or malice.","The West does not care about Ukraine, only about its interests","Statements that claim that the West is only interested in Ukraine for its own benefits, disregarding the country’s fate.","[""The West has indebted Ukraine more than XX bln of dollars, a lucrative deal for western companies to exploit"", ""NATO’s actions are endangering global security.""]",
"Discrediting the West, Diplomacy","Statements that criticize the Western countries, or interna- tional diplomatic efforts.","[""The West is hypocritical in its foreign policy."", ""Western diplomacy has failed in resolving conflicts."", ""International organizations will not solve anything because...""]","Look for criticism or negative portrayals of Western governments, leaders, or policies. Pay attention to language that suggests incompetence, hypocrisy, or malice.",Diplomacy does/will not work,Statements discrediting the potential of ongoing or potential diplomatic efforts.,"[""Diplomats are desperately trying to figure out solutions but now it’s too late, they have failed and Russia is free to do whatever.""]",
"Discrediting the West, Diplomacy","Statements that criticize the Western countries, or interna- tional diplomatic efforts.","[""The West is hypocritical in its foreign policy."", ""Western diplomacy has failed in resolving conflicts."", ""International organizations will not solve anything because...""]","Look for criticism or negative portrayals of Western governments, leaders, or policies. Pay attention to language that suggests incompetence, hypocrisy, or malice.",West is tired of Ukraine,"Claims that Western countries, particularly the United
States and European nations, are becoming fatigued or disinterested in supporting Ukraine and its efforts.","[""InEuropeancapitals,theideaoffundingUkrainewithoutprogress on the battlefield has started loosing the already small support.""]",
Negative Consequences for the West,"Statements that highlight or predict adverse outcomes for
Western countries and their interests.","[""Sanctions against Russia will backfire on Europe."", ""The West is headed for an economic downturn.""]",Identify predictions or reports of nega- tive impacts on Western nations. Consider both current and future con- sequences mentioned.,Sanctions imposed by Western countries will backfire,Statements that catastrophize on the possible negative effects for Western sanctions of Russia.,"[""The winter is going to be cold and with current gas prices, we are talking of societal unrest.""]",
Negative Consequences for the West,"Statements that highlight or predict adverse outcomes for
Western countries and their interests.","[""Sanctions against Russia will backfire on Europe."", ""The West is headed for an economic downturn.""]",Identify predictions or reports of nega- tive impacts on Western nations. Consider both current and future con- sequences mentioned.,The conflict will increase the Ukrainian refugee flows to Eu- rope,Statements that catastrophize on the possible refugee outflows due to the conflict.,"[""Like we did not have refugees from the Middle East, now we will have Ukrainians stressing our housing and healthcare problems.""]",
Distrust towards Media,"Statements that question the reliability or integrity of media
organizations.","[""Western media is spreading propaganda."", ""You can’t trust what the news says about Russia.""]","Look for language that undermines con- fidence in media sources. Pay attention to claims of bias, misinformation, or manipulation.",Western media is an instrument of propaganda,Statements that discredit the media institutions of the West and claim that they are instruments of propaganda.,"[""... but you wouldn’t hear this on a western channel, only the party line from State Department.""]",
Distrust towards Media,"Statements that question the reliability or integrity of media
organizations.","[""Western media is spreading propaganda."", ""You can’t trust what the news says about Russia.""]","Look for language that undermines con- fidence in media sources. Pay attention to claims of bias, misinformation, or manipulation.",Ukrainian media cannot be trusted,"Statements that discredit the media institutions of the
Ukraine and claim that they should not be trusted for reporting on the war.","Ukraine is conducting its own propaganda using their TV chan- nels, news and social media.",
Amplifying war-related fears,"Statements that evoke fear or anxiety about potential threats, dangers or reactions.","[""The West is pushing us towards World War III."", ""It is a matter of time before war speads on the West"", ""Nuclear war is imminent""]",Identify language designed to elicit fear or concern about severe consequences. Consider both direct and implied threats mentioned.,By continuing the war we risk WWIII,"Statements that warn against upsetting Russia’s and its leadership, evoking fear of causing WW3.","[""The Western elites with their fixation on Russia are sleapwalk- ing towards WW3""]",
Amplifying war-related fears,"Statements that evoke fear or anxiety about potential threats, dangers or reactions.","[""The West is pushing us towards World War III."", ""It is a matter of time before war speads on the West"", ""Nuclear war is imminent""]",Identify language designed to elicit fear or concern about severe consequences. Consider both direct and implied threats mentioned.,Russia will also attack other countries,"Statements that claim that it is imminent that Russia
will attack other countries.","[""... and be sure, Ukraine is the first not the last country to be invaded. Others will follow.""]",
Amplifying war-related fears,"Statements that evoke fear or anxiety about potential threats, dangers or reactions.","[""The West is pushing us towards World War III."", ""It is a matter of time before war speads on the West"", ""Nuclear war is imminent""]",Identify language designed to elicit fear or concern about severe consequences. Consider both direct and implied threats mentioned.,There is a real possibility that nuclear weapons will be em- ployed,Statements that evoke fear or anxiety about the use of nuclear weapons.,"[""... and if Western hypocrisy continues to provoke, Putin might be forced to press the red button. . . for good""]","This narrative can potentially go in two directions, either claiming that West should not anger Russia, or that Russia should be stopped before they use them."
Amplifying war-related fears,"Statements that evoke fear or anxiety about potential threats, dangers or reactions.","[""The West is pushing us towards World War III."", ""It is a matter of time before war speads on the West"", ""Nuclear war is imminent""]",Identify language designed to elicit fear or concern about severe consequences. Consider both direct and implied threats mentioned.,NATO should/will directly intervene,"Statements that suggest or claim that the North Atlantic Treaty Organization (NATO) ought to or will take direct military action in a conflict, potentially implying a shift in policy or strategy.","[""If Russia continues to bully neighboring countries it migh leave NATO no other choice but to come and intervene, in any possible way.""]",
Hidden plots by secret schemes of powerful groups,Statements that suggest hidden plots or secretive actions by powerful groups related to the war.,"[""There’s a secret plan by the elites to control global resources."", ""The war is just a cover for something much bigger.""]","Look for narratives involving clandestine activities, secret agendas, or unproven allegations. Focus on claims that lack credible evidence and suggest hidden motives.",,,,
